#Data Set Export - Rainfall.Continuous@A64871M,,,,
"GENERAL TERMS AND CONDITIONS
1. Auckland Council owns the copyright on the data.
2. Auckland Council shall be acknowledged as the source of the data used in any publication, media statement or other documents, or oral statements which include the data and are made available to third parties, including the general public.
3. The data is provided with the understanding that it is for the sole use of the recipient, or its agents, and it is not intended that this data will be sold, lent or given to any third party other than for the purposes it is provided for. Data may not be sold to any third party in an unmodified form without agreement of Auckland Council.
4. The user of the data agrees to indemnify Auckland Council for any losses sustained as a consequence of a breach of any of these conditions.
5. A copy of these terms and conditions shall accompany any of the attached data which is made available to third parties.
DISCLAIMER
The data is supplied on the basis that it is accurate to the best of Auckland Council knowledge and belief. While Auckland Council has exercised all reasonable skill and care in compiling and providing this data, Auckland Council accepts no liability in contract, tort or otherwise howsoever, for any loss, damage, injury or expense (whether direct, indirect or consequential) arising out of the provision of this data or its use by you.
NOTE ON DATA
Data users are cautioned to consider carefully the nature of this data before using it for decisions that concern personal or public safety or the conduct of business that involves monetary or operational consequences.
Data users are cautioned to consider carefully using or interpreting this data for purposes other than that for which it was collected.  Auckland Council should be consulted to verify whether the data is being correctly interpreted.
DATA QUALITY
Data provided may include both measured and synthesised data. Measured data may also include data of different quality. Please request quality codes with your data set if you wish to identify these types of data.
",,,,
Timestamp (UTC+12:00),Value (Millimetres),Grade Code,Interpolation Type,Event Timestamp
1969-06-14 00:00:00,0,200,5,
1969-06-15 00:00:00,1.52,200,5,
1969-06-16 00:00:00,4.32,200,5,
1969-06-17 00:00:00,4.32,200,5,
1969-06-18 00:00:00,6.35,200,5,
1969-06-19 00:00:00,5.59,200,5,
1969-06-20 00:00:00,7.62,200,5,
1969-06-21 00:00:00,3.3,200,5,
1969-06-22 00:00:00,1.27,200,5,
1969-06-23 00:00:00,0.51,200,5,
1969-06-24 00:00:00,19.3,200,5,
1969-06-25 00:00:00,7.87,200,5,
1969-06-26 00:00:00,2.29,200,5,
1969-06-27 00:00:00,7.37,200,5,
1969-06-28 00:00:00,9.4,200,5,
1969-06-29 00:00:00,0.76,200,5,
1969-06-30 00:00:00,0.76,200,5,
1969-07-01 00:00:00,13.46,200,5,
1969-07-02 00:00:00,8.89,200,5,
1969-07-03 00:00:00,1.52,200,5,
1969-07-04 00:00:00,0,200,5,
1969-07-05 00:00:00,0.25,200,5,
1969-07-07 00:00:00,0,200,5,
1969-07-08 00:00:00,6.86,200,5,
1969-07-09 00:00:00,4.83,200,5,
1969-07-10 00:00:00,3.56,200,5,
1969-07-11 00:00:00,1.78,200,5,
1969-07-12 00:00:00,4.57,200,5,
1969-07-13 00:00:00,1.02,200,5,
1969-07-15 00:00:00,0,200,5,
1969-07-16 00:00:00,1.52,200,5,
1969-07-17 00:00:00,2.29,200,5,
1969-07-18 00:00:00,0.51,200,5,
1969-07-19 00:00:00,5.59,200,5,
1969-07-20 00:00:00,6.35,200,5,
1969-07-23 00:00:00,0,200,5,
1969-07-24 00:00:00,0.25,200,5,
1969-07-25 00:00:00,30.23,200,5,
1969-07-26 00:00:00,6.6,200,5,
1969-07-28 00:00:00,0,200,5,
1969-07-29 00:00:00,0.25,200,5,
1969-07-30 00:00:00,0.25,200,5,
1969-07-31 00:00:00,0.51,200,5,
1969-08-01 00:00:00,0,200,5,
1969-08-02 00:00:00,0.25,200,5,
1969-08-03 00:00:00,1.27,200,5,
1969-08-05 00:00:00,0,200,5,
1969-08-06 00:00:00,2.79,200,5,
1969-08-07 00:00:00,27.43,200,5,
1969-08-08 00:00:00,21.84,200,5,
1969-08-09 00:00:00,0,200,5,
1969-08-10 00:00:00,7.11,200,5,
1969-08-11 00:00:00,5.33,200,5,
1969-08-13 00:00:00,0,200,5,
1969-08-14 00:00:00,1.27,200,5,
1969-08-15 00:00:00,0,200,5,
1969-08-16 00:00:00,2.29,200,5,
1969-08-17 00:00:00,16,200,5,
1969-08-18 00:00:00,32.77,200,5,
1969-08-19 00:00:00,5.08,200,5,
1969-08-20 00:00:00,0,200,5,
1969-08-21 00:00:00,3.81,200,5,
1969-08-27 00:00:00,0,200,5,
1969-08-28 00:00:00,10.41,200,5,
1969-08-31 00:00:00,0,200,5,
1969-09-01 00:00:00,1.52,200,5,
1969-09-06 00:00:00,0,200,5,
1969-09-07 00:00:00,0.51,200,5,
1969-09-09 00:00:00,0,200,5,
1969-09-10 00:00:00,0.76,200,5,
1969-09-11 00:00:00,13.72,200,5,
1969-09-12 00:00:00,7.11,200,5,
1969-09-13 00:00:00,5.84,200,5,
1969-09-14 00:00:00,6.1,200,5,
1969-09-15 00:00:00,0,200,5,
1969-09-16 00:00:00,20.83,200,5,
1969-09-17 00:00:00,0,200,5,
1969-09-18 00:00:00,9.4,200,5,
1969-09-19 00:00:00,0.76,200,5,
1969-09-20 00:00:00,0,200,5,
1969-09-21 00:00:00,1.27,200,5,
1969-09-22 00:00:00,1.78,200,5,
1969-09-24 00:00:00,0,200,5,
1969-09-25 00:00:00,17.02,200,5,
1969-09-26 00:00:00,23.37,200,5,
1969-09-27 00:00:00,3.56,200,5,
1969-09-28 00:00:00,0.25,200,5,
1969-10-01 00:00:00,0,200,5,
1969-10-02 00:00:00,1.02,200,5,
1969-10-03 00:00:00,0.25,200,5,
1969-10-05 00:00:00,0,200,5,
1969-10-06 00:00:00,1.78,200,5,
1969-10-07 00:00:00,0.25,200,5,
1969-10-08 00:00:00,2.03,200,5,
1969-10-09 00:00:00,0.51,200,5,
1969-10-10 00:00:00,3.81,200,5,
1969-10-11 00:00:00,3.81,200,5,
1969-10-17 00:00:00,0,200,5,
1969-10-18 00:00:00,0.51,200,5,
1969-10-22 00:00:00,0,200,5,
1969-10-23 00:00:00,1.52,200,5,
1969-10-24 00:00:00,1.78,200,5,
1969-10-25 00:00:00,0.51,200,5,
1969-10-26 00:00:00,0.25,200,5,
1969-10-27 00:00:00,0.51,200,5,
1969-10-28 00:00:00,6.1,200,5,
1969-11-04 00:00:00,0,200,5,
1969-11-11 00:00:00,0,200,5,
1969-11-14 00:00:00,0,200,5,
1969-11-15 00:00:00,3.81,200,5,
1969-11-22 00:00:00,0,200,5,
1969-11-23 00:00:00,6.6,200,5,
1969-11-24 00:00:00,0,200,5,
1969-11-25 00:00:00,4.83,200,5,
1969-11-26 00:00:00,22.86,200,5,
1969-11-30 00:00:00,0,200,5,
1969-12-01 00:00:00,3.05,200,5,
1969-12-02 00:00:00,12.95,200,5,
1969-12-04 00:00:00,0,200,5,
1969-12-05 00:00:00,10.92,200,5,
1969-12-08 00:00:00,0,200,5,
1969-12-09 00:00:00,0.51,200,5,
1969-12-10 00:00:00,1.02,200,5,
1969-12-11 00:00:00,0,200,5,
1969-12-12 00:00:00,1.27,200,5,
1969-12-16 00:00:00,0,200,5,
1969-12-17 00:00:00,46.99,200,5,
1969-12-18 00:00:00,33.02,200,5,
1969-12-19 00:00:00,0,200,5,
1969-12-20 00:00:00,6.6,200,5,
1969-12-25 00:00:00,0,200,5,
1969-12-26 00:00:00,1.78,200,5,
1969-12-30 00:00:00,0,200,5,
1969-12-31 00:00:00,8.13,200,5,
1970-01-01 00:00:00,1.52,200,5,
1970-01-06 00:00:00,0,200,5,
1970-01-07 00:00:00,19.81,200,5,
1970-01-08 00:00:00,0.51,200,5,
1970-01-09 00:00:00,4.06,200,5,
1970-01-14 00:00:00,0,200,5,
1970-01-15 00:00:00,4.57,200,5,
1970-01-19 00:00:00,0,200,5,
1970-01-20 00:00:00,3.05,200,5,
1970-01-23 00:00:00,0,200,5,
1970-01-24 00:00:00,3.3,200,5,
1970-01-31 00:00:00,0,200,5,
1970-02-07 00:00:00,0,200,5,
1970-02-08 00:00:00,2.03,200,5,
1970-02-09 00:00:00,6.6,200,5,
1970-02-10 00:00:00,0,200,5,
1970-02-11 00:00:00,0.51,200,5,
1970-02-12 00:00:00,0.25,200,5,
1970-02-19 00:00:00,0,200,5,
1970-02-21 00:00:00,0,200,5,
1970-02-22 00:00:00,1.78,200,5,
1970-02-23 00:00:00,0,200,5,
1970-02-24 00:00:00,0.51,200,5,
1970-02-27 00:00:00,0,200,5,
1970-02-28 00:00:00,1.02,200,5,
1970-03-01 00:00:00,29.21,200,5,
1970-03-07 00:00:00,0,200,5,
1970-03-08 00:00:00,1.27,200,5,
1970-03-10 00:00:00,0,200,5,
1970-03-11 00:00:00,0.25,200,5,
1970-03-12 00:00:00,38.86,200,5,
1970-03-13 00:00:00,0,200,5,
1970-03-14 00:00:00,0.25,200,5,
1970-03-15 00:00:00,16.26,200,5,
1970-03-16 00:00:00,9.4,200,5,
1970-03-17 00:00:00,0,200,5,
1970-03-18 00:00:00,0.51,200,5,
1970-03-19 00:00:00,2.79,200,5,
1970-03-20 00:00:00,2.03,200,5,
1970-03-21 00:00:00,0,200,5,
1970-03-22 00:00:00,2.79,200,5,
1970-03-25 00:00:00,0,200,5,
1970-03-26 00:00:00,26.67,200,5,
1970-03-31 00:00:00,0,200,5,
1970-04-01 00:00:00,6.35,200,5,
1970-04-02 00:00:00,11.94,200,5,
1970-04-03 00:00:00,9.4,200,5,
1970-04-04 00:00:00,21.59,200,5,
1970-04-05 00:00:00,4.83,200,5,
1970-04-07 00:00:00,0,200,5,
1970-04-08 00:00:00,2.29,200,5,
1970-04-09 00:00:00,8.64,200,5,
1970-04-10 00:00:00,0.51,200,5,
1970-04-11 00:00:00,1.02,200,5,
1970-04-13 00:00:00,0,200,5,
1970-04-14 00:00:00,4.32,200,5,
1970-04-21 00:00:00,0,200,5,
1970-04-25 00:00:00,0,200,5,
1970-04-26 00:00:00,0.25,200,5,
1970-04-29 00:00:00,0,200,5,
1970-04-30 00:00:00,8.13,200,5,
1970-05-01 00:00:00,9.4,200,5,
1970-05-02 00:00:00,32.51,200,5,
1970-05-03 00:00:00,2.03,200,5,
1970-05-05 00:00:00,0,200,5,
1970-05-06 00:00:00,11.18,200,5,
1970-05-07 00:00:00,0,200,5,
1970-05-08 00:00:00,4.83,200,5,
1970-05-09 00:00:00,12.19,200,5,
1970-05-10 00:00:00,12.45,200,5,
1970-05-11 00:00:00,0.51,200,5,
1970-05-18 00:00:00,0,200,5,
1970-05-19 00:00:00,0.51,200,5,
1970-05-20 00:00:00,12.7,200,5,
1970-05-21 00:00:00,12.7,200,5,
1970-05-22 00:00:00,25.15,200,5,
1970-05-23 00:00:00,12.19,200,5,
1970-05-24 00:00:00,3.05,200,5,
1970-05-25 00:00:00,13.72,200,5,
1970-05-26 00:00:00,1.02,200,5,
1970-05-27 00:00:00,2.54,200,5,
1970-06-02 00:00:00,0,200,5,
1970-06-03 00:00:00,19.56,200,5,
1970-06-04 00:00:00,41.4,200,5,
1970-06-05 00:00:00,7.87,200,5,
1970-06-06 00:00:00,13.97,200,5,
1970-06-07 00:00:00,1.02,200,5,
1970-06-08 00:00:00,4.83,200,5,
1970-06-13 00:00:00,0,200,5,
1970-06-14 00:00:00,0.25,200,5,
1970-06-15 00:00:00,32.77,200,5,
1970-06-16 00:00:00,0.25,200,5,
1970-06-17 00:00:00,0.25,200,5,
1970-06-18 00:00:00,7.37,200,5,
1970-06-19 00:00:00,4.57,200,5,
1970-06-20 00:00:00,0.51,200,5,
1970-06-21 00:00:00,0,200,5,
1970-06-22 00:00:00,0.76,200,5,
1970-06-24 00:00:00,0,200,5,
1970-06-25 00:00:00,1.02,200,5,
1970-06-28 00:00:00,0,200,5,
1970-06-29 00:00:00,1.52,200,5,
1970-06-30 00:00:00,6.1,200,5,
1970-07-02 00:00:00,0,200,5,
1970-07-03 00:00:00,1.27,200,5,
1970-07-04 00:00:00,35.05,200,5,
1970-07-05 00:00:00,1.27,200,5,
1970-07-06 00:00:00,0,200,5,
1970-07-07 00:00:00,8.13,200,5,
1970-07-08 00:00:00,11.43,200,5,
1970-07-10 00:00:00,0,200,5,
1970-07-11 00:00:00,9.14,200,5,
1970-07-12 00:00:00,0,200,5,
1970-07-13 00:00:00,8.38,200,5,
1970-07-14 00:00:00,7.87,200,5,
1970-07-15 00:00:00,12.7,200,5,
1970-07-16 00:00:00,9.14,200,5,
1970-07-20 00:00:00,0,200,5,
1970-07-21 00:00:00,8.13,200,5,
1970-07-22 00:00:00,1.52,200,5,
1970-07-23 00:00:00,0,200,5,
1970-07-24 00:00:00,4.06,200,5,
1970-07-26 00:00:00,0,200,5,
1970-07-27 00:00:00,27.43,200,5,
1970-07-28 00:00:00,8.13,200,5,
1970-07-29 00:00:00,0.76,200,5,
1970-07-30 00:00:00,0.25,200,5,
1970-07-31 00:00:00,1.02,200,5,
1970-08-02 00:00:00,0,200,5,
1970-08-03 00:00:00,0.25,200,5,
1970-08-04 00:00:00,8.38,200,5,
1970-08-05 00:00:00,17.02,200,5,
1970-08-06 00:00:00,10.92,200,5,
1970-08-07 00:00:00,7.11,200,5,
1970-08-08 00:00:00,20.07,200,5,
1970-08-12 00:00:00,0,200,5,
1970-08-13 00:00:00,3.56,200,5,
1970-08-14 00:00:00,93.47,200,5,
1970-08-15 00:00:00,1.52,200,5,
1970-08-20 00:00:00,0,200,5,
1970-08-21 00:00:00,52.07,200,5,
1970-08-22 00:00:00,7.37,200,5,
1970-08-23 00:00:00,16.26,200,5,
1970-08-27 00:00:00,0,200,5,
1970-08-28 00:00:00,2.03,200,5,
1970-08-29 00:00:00,0.51,200,5,
1970-09-02 00:00:00,0,200,5,
1970-09-03 00:00:00,0.25,200,5,
1970-09-06 00:00:00,0,200,5,
1970-09-07 00:00:00,0.76,200,5,
1970-09-08 00:00:00,0,200,5,
1970-09-09 00:00:00,0.25,200,5,
1970-09-10 00:00:00,0,200,5,
1970-09-11 00:00:00,1.52,200,5,
1970-09-12 00:00:00,11.18,200,5,
1970-09-13 00:00:00,1.52,200,5,
1970-09-15 00:00:00,0,200,5,
1970-09-16 00:00:00,0.51,200,5,
1970-09-17 00:00:00,13.97,200,5,
1970-09-18 00:00:00,4.32,200,5,
1970-09-19 00:00:00,0,200,5,
1970-09-20 00:00:00,3.81,200,5,
1970-09-21 00:00:00,0.25,200,5,
1970-09-24 00:00:00,0,200,5,
1970-09-25 00:00:00,11.68,200,5,
1970-09-26 00:00:00,21.08,200,5,
1970-09-27 00:00:00,3.3,200,5,
1970-09-28 00:00:00,1.52,200,5,
1970-09-29 00:00:00,0.76,200,5,
1970-09-30 00:00:00,6.6,200,5,
1970-10-01 00:00:00,29.72,200,5,
1970-10-02 00:00:00,0.51,200,5,
1970-10-03 00:00:00,1.27,200,5,
1970-10-07 00:00:00,0,200,5,
1970-10-08 00:00:00,0.51,200,5,
1970-10-09 00:00:00,0.51,200,5,
1970-10-10 00:00:00,6.86,200,5,
1970-10-11 00:00:00,2.29,200,5,
1970-10-12 00:00:00,0.51,200,5,
1970-10-14 00:00:00,0,200,5,
1970-10-15 00:00:00,1.27,200,5,
1970-10-16 00:00:00,2.29,200,5,
1970-10-17 00:00:00,2.29,200,5,
1970-10-18 00:00:00,4.57,200,5,
1970-10-19 00:00:00,3.05,200,5,
1970-10-20 00:00:00,3.56,200,5,
1970-10-23 00:00:00,0,200,5,
1970-10-24 00:00:00,8.13,200,5,
1970-10-25 00:00:00,0.25,200,5,
1970-10-28 00:00:00,0,200,5,
1970-10-29 00:00:00,36.32,200,5,
1970-10-30 00:00:00,32.26,200,5,
1970-10-31 00:00:00,0,200,5,
1970-11-01 00:00:00,35.05,200,5,
1970-11-02 00:00:00,0,200,5,
1970-11-03 00:00:00,8.13,200,5,
1970-11-04 00:00:00,15.49,200,5,
1970-11-05 00:00:00,3.81,200,5,
1970-11-06 00:00:00,0.25,200,5,
1970-11-13 00:00:00,0,200,5,
1970-11-18 00:00:00,0,200,5,
1970-11-19 00:00:00,1.52,200,5,
1970-11-20 00:00:00,25.15,200,5,
1970-11-21 00:00:00,27.18,200,5,
1970-11-22 00:00:00,0.25,200,5,
1970-11-24 00:00:00,0,200,5,
1970-11-25 00:00:00,5.59,200,5,
1970-11-26 00:00:00,0,200,5,
1970-11-27 00:00:00,3.56,200,5,
1970-12-02 00:00:00,0,200,5,
1970-12-03 00:00:00,0.51,200,5,
1970-12-04 00:00:00,0.25,200,5,
1970-12-11 00:00:00,0,200,5,
1970-12-12 00:00:00,0,200,5,
1970-12-13 00:00:00,0.25,200,5,
1970-12-14 00:00:00,0,200,5,
1970-12-15 00:00:00,5.08,200,5,
1970-12-16 00:00:00,3.56,200,5,
1970-12-20 00:00:00,0,200,5,
1970-12-21 00:00:00,4.32,200,5,
1970-12-25 00:00:00,0,200,5,
1970-12-26 00:00:00,14.73,200,5,
1970-12-28 00:00:00,0,200,5,
1970-12-29 00:00:00,4.06,200,5,
1971-01-03 00:00:00,0,200,5,
1971-01-04 00:00:00,21.8,200,5,
1971-01-06 00:00:00,0,200,5,
1971-01-07 00:00:00,0.3,200,5,
1971-01-08 00:00:00,9.4,200,5,
1971-01-09 00:00:00,20.1,200,5,
1971-01-10 00:00:00,2,200,5,
1971-01-13 00:00:00,0,200,5,
1971-01-14 00:00:00,2,200,5,
1971-01-16 00:00:00,0,200,5,
1971-01-17 00:00:00,0.8,200,5,
1971-01-24 00:00:00,0,200,5,
1971-01-31 00:00:00,0,200,5,
1971-02-01 00:00:00,0.8,200,5,
1971-02-02 00:00:00,1.3,200,5,
1971-02-03 00:00:00,1.8,200,5,
1971-02-04 00:00:00,0,200,5,
1971-02-05 00:00:00,0.5,200,5,
1971-02-06 00:00:00,0,200,5,
1971-02-07 00:00:00,3.6,200,5,
1971-02-13 00:00:00,0,200,5,
1971-02-14 00:00:00,2.3,200,5,
1971-02-16 00:00:00,0,200,5,
1971-02-17 00:00:00,3,200,5,
1971-02-18 00:00:00,0.8,200,5,
1971-02-19 00:00:00,2.3,200,5,
1971-02-20 00:00:00,1.8,200,5,
1971-02-21 00:00:00,7.4,200,5,
1971-02-22 00:00:00,1.3,200,5,
1971-02-23 00:00:00,3.3,200,5,
1971-02-24 00:00:00,17.5,200,5,
1971-02-25 00:00:00,36.8,200,5,
1971-02-26 00:00:00,22.6,200,5,
1971-02-27 00:00:00,0.3,200,5,
1971-03-06 00:00:00,0,200,5,
1971-03-10 00:00:00,0,200,5,
1971-03-11 00:00:00,6.4,200,5,
1971-03-12 00:00:00,55.4,200,5,
1971-03-13 00:00:00,16,200,5,
1971-03-17 00:00:00,0,200,5,
1971-03-18 00:00:00,2.5,200,5,
1971-03-25 00:00:00,0,200,5,
1971-03-26 00:00:00,11.9,200,5,
1971-03-27 00:00:00,0,200,5,
1971-03-28 00:00:00,1.8,200,5,
1971-03-31 00:00:00,0,200,5,
1971-04-01 00:00:00,0.8,200,5,
1971-04-02 00:00:00,0.5,200,5,
1971-04-05 00:00:00,0,200,5,
1971-04-06 00:00:00,3.6,200,5,
1971-04-07 00:00:00,13.5,200,5,
1971-04-09 00:00:00,0,200,5,
1971-04-10 00:00:00,0.5,200,5,
1971-04-11 00:00:00,16.5,200,5,
1971-04-12 00:00:00,1.3,200,5,
1971-04-13 00:00:00,0.8,200,5,
1971-04-14 00:00:00,12.7,200,5,
1971-04-15 00:00:00,17.5,200,5,
1971-04-16 00:00:00,2.5,200,5,
1971-04-17 00:00:00,17.5,200,5,
1971-04-18 00:00:00,13.7,200,5,
1971-04-19 00:00:00,1.5,200,5,
1971-04-20 00:00:00,9.9,200,5,
1971-04-21 00:00:00,7.1,200,5,
1971-04-23 00:00:00,0,200,5,
1971-04-24 00:00:00,2.8,200,5,
1971-04-25 00:00:00,7.4,200,5,
1971-04-30 00:00:00,0,200,5,
1971-05-01 00:00:00,1.8,200,5,
1971-05-02 00:00:00,0,200,5,
1971-05-03 00:00:00,15,200,5,
1971-05-04 00:00:00,27.4,200,5,
1971-05-05 00:00:00,1.8,200,5,
1971-05-06 00:00:00,9.1,200,5,
1971-05-07 00:00:00,5.3,200,5,
1971-05-08 00:00:00,2.3,200,5,
1971-05-09 00:00:00,0,200,5,
1971-05-10 00:00:00,1.8,200,5,
1971-05-11 00:00:00,0,200,5,
1971-05-12 00:00:00,17,200,5,
1971-05-13 00:00:00,4.8,200,5,
1971-05-14 00:00:00,4.6,200,5,
1971-05-15 00:00:00,4.3,200,5,
1971-05-16 00:00:00,5.6,200,5,
1971-05-17 00:00:00,0.5,200,5,
1971-05-19 00:00:00,0,200,5,
1971-05-20 00:00:00,0.5,200,5,
1971-05-27 00:00:00,0,200,5,
1971-05-28 00:00:00,7.9,200,5,
1971-05-30 00:00:00,0,200,5,
1971-05-31 00:00:00,13,200,5,
1971-06-01 00:00:00,12.7,200,5,
1971-06-02 00:00:00,0.5,200,5,
1971-06-03 00:00:00,0,200,5,
1971-06-04 00:00:00,5.8,200,5,
1971-06-05 00:00:00,5.1,200,5,
1971-06-06 00:00:00,6.1,200,5,
1971-06-07 00:00:00,5.1,200,5,
1971-06-08 00:00:00,0,200,5,
1971-06-09 00:00:00,8.9,200,5,
1971-06-10 00:00:00,1.3,200,5,
1971-06-11 00:00:00,2.5,200,5,
1971-06-12 00:00:00,2.8,200,5,
1971-06-13 00:00:00,0.3,200,5,
1971-06-14 00:00:00,4.6,200,5,
1971-06-15 00:00:00,4.1,200,5,
1971-06-16 00:00:00,0,200,5,
1971-06-17 00:00:00,2.8,200,5,
1971-06-21 00:00:00,0,200,5,
1971-06-22 00:00:00,5.6,200,5,
1971-06-23 00:00:00,0.3,200,5,
1971-06-24 00:00:00,9.7,200,5,
1971-06-25 00:00:00,1,200,5,
1971-06-26 00:00:00,1.8,200,5,
1971-06-27 00:00:00,0.3,200,5,
1971-06-28 00:00:00,3,200,5,
1971-06-29 00:00:00,8.6,200,5,
1971-06-30 00:00:00,4.3,200,5,
1971-07-01 00:00:00,0.5,200,5,
1971-07-02 00:00:00,3.8,200,5,
1971-07-03 00:00:00,63.1,200,5,
1971-07-04 00:00:00,9.8,200,5,
1971-07-05 00:00:00,4.8,200,5,
1971-07-06 00:00:00,2.8,200,5,
1971-07-07 00:00:00,3.9,200,5,
1971-07-08 00:00:00,0.3,200,5,
1971-07-13 00:00:00,0,200,5,
1971-07-14 00:00:00,1.4,200,5,
1971-07-15 00:00:00,5,200,5,
1971-07-22 00:00:00,0,200,5,
1971-07-25 00:00:00,0,200,5,
1971-07-26 00:00:00,1.9,200,5,
1971-07-27 00:00:00,19.5,200,5,
1971-07-28 00:00:00,4.2,200,5,
1971-07-29 00:00:00,0.8,200,5,
1971-07-30 00:00:00,13.2,200,5,
1971-07-31 00:00:00,3.3,200,5,
1971-08-02 00:00:00,0,200,5,
1971-08-03 00:00:00,20.4,200,5,
1971-08-04 00:00:00,16.2,200,5,
1971-08-05 00:00:00,28.6,200,5,
1971-08-06 00:00:00,0.2,200,5,
1971-08-07 00:00:00,0,200,5,
1971-08-08 00:00:00,0.3,200,5,
1971-08-11 00:00:00,0,200,5,
1971-08-12 00:00:00,0.1,200,5,
1971-08-13 00:00:00,3.1,200,5,
1971-08-14 00:00:00,4.4,200,5,
1971-08-15 00:00:00,0.5,200,5,
1971-08-16 00:00:00,20.5,200,5,
1971-08-17 00:00:00,0.7,200,5,
1971-08-18 00:00:00,0.2,200,5,
1971-08-24 00:00:00,0,200,5,
1971-08-25 00:00:00,6.4,200,5,
1971-08-26 00:00:00,3.1,200,5,
1971-08-27 00:00:00,16.2,200,5,
1971-08-28 00:00:00,0.1,200,5,
1971-08-29 00:00:00,9,200,5,
1971-08-30 00:00:00,0,200,5,
1971-08-31 00:00:00,12.9,200,5,
1971-09-01 00:00:00,14.3,200,5,
1971-09-02 00:00:00,5.1,200,5,
1971-09-03 00:00:00,10.6,200,5,
1971-09-04 00:00:00,1.2,200,5,
1971-09-05 00:00:00,0,200,5,
1971-09-06 00:00:00,8.6,200,5,
1971-09-07 00:00:00,33.8,200,5,
1971-09-08 00:00:00,1.5,200,5,
1971-09-09 00:00:00,0.3,200,5,
1971-09-11 00:00:00,0,200,5,
1971-09-12 00:00:00,10.8,200,5,
1971-09-13 00:00:00,4.2,200,5,
1971-09-14 00:00:00,29.5,200,5,
1971-09-17 00:00:00,0,200,5,
1971-09-18 00:00:00,0.6,200,5,
1971-09-19 00:00:00,0,200,5,
1971-09-20 00:00:00,14.6,200,5,
1971-09-21 00:00:00,1.4,200,5,
1971-09-22 00:00:00,0.7,200,5,
1971-09-23 00:00:00,1.4,200,5,
1971-09-24 00:00:00,4.1,200,5,
1971-09-25 00:00:00,0.4,200,5,
1971-09-26 00:00:00,3.4,200,5,
1971-09-27 00:00:00,5.7,200,5,
1971-09-28 00:00:00,3.3,200,5,
1971-09-29 00:00:00,0.3,200,5,
1971-09-30 00:00:00,1.3,200,5,
1971-10-01 00:00:00,0.2,200,5,
1971-10-02 00:00:00,0,200,5,
1971-10-03 00:00:00,4.5,200,5,
1971-10-04 00:00:00,6.6,200,5,
1971-10-05 00:00:00,0.9,200,5,
1971-10-06 00:00:00,4.8,200,5,
1971-10-08 00:00:00,0,200,5,
1971-10-09 00:00:00,13.6,200,5,
1971-10-10 00:00:00,0,200,5,
1971-10-11 00:00:00,8.4,200,5,
1971-10-12 00:00:00,2.7,200,5,
1971-10-13 00:00:00,0.3,200,5,
1971-10-14 00:00:00,0.1,200,5,
1971-10-17 00:00:00,0,200,5,
1971-10-18 00:00:00,20.1,200,5,
1971-10-19 00:00:00,8.6,200,5,
1971-10-20 00:00:00,5.3,200,5,
1971-10-21 00:00:00,17.1,200,5,
1971-10-22 00:00:00,0.7,200,5,
1971-10-23 00:00:00,28.2,200,5,
1971-10-24 00:00:00,23.1,200,5,
1971-10-25 00:00:00,0,200,5,
1971-10-26 00:00:00,2.8,200,5,
1971-10-27 00:00:00,0,200,5,
1971-10-28 00:00:00,0.2,200,5,
1971-10-29 00:00:00,1.6,200,5,
1971-10-30 00:00:00,1.8,200,5,
1971-10-31 00:00:00,0.4,200,5,
1971-11-04 00:00:00,0,200,5,
1971-11-05 00:00:00,6.3,200,5,
1971-11-06 00:00:00,0.5,200,5,
1971-11-08 00:00:00,0,200,5,
1971-11-09 00:00:00,2.9,200,5,
1971-11-13 00:00:00,0,200,5,
1971-11-14 00:00:00,1.8,200,5,
1971-11-15 00:00:00,0,200,5,
1971-11-16 00:00:00,8.6,200,5,
1971-11-17 00:00:00,12,200,5,
1971-11-18 00:00:00,14.6,200,5,
1971-11-19 00:00:00,1.4,200,5,
1971-11-20 00:00:00,0.1,200,5,
1971-11-21 00:00:00,3.2,200,5,
1971-11-22 00:00:00,0.4,200,5,
1971-11-23 00:00:00,0.9,200,5,
1971-11-24 00:00:00,0.3,200,5,
1971-11-25 00:00:00,9.7,200,5,
1971-11-26 00:00:00,19,200,5,
1971-11-27 00:00:00,11,200,5,
1971-11-28 00:00:00,0,200,5,
1971-11-29 00:00:00,0.2,200,5,
1971-12-01 00:00:00,0,200,5,
1971-12-02 00:00:00,9.9,200,5,
1971-12-03 00:00:00,26.4,200,5,
1971-12-04 00:00:00,8.5,200,5,
1971-12-07 00:00:00,0,200,5,
1971-12-08 00:00:00,0.2,200,5,
1971-12-09 00:00:00,3.2,200,5,
1971-12-10 00:00:00,1,200,5,
1971-12-17 00:00:00,0,200,5,
1971-12-20 00:00:00,0,200,5,
1971-12-21 00:00:00,1,200,5,
1971-12-22 00:00:00,8.7,200,5,
1971-12-27 00:00:00,0,200,5,
1971-12-28 00:00:00,0.4,200,5,
1971-12-29 00:00:00,0.2,200,5,
1971-12-30 00:00:00,0.2,200,5,
1971-12-31 00:00:00,7,200,5,
1972-01-01 00:00:00,49.8,200,5,
1972-01-02 00:00:00,1.7,200,5,
1972-01-03 00:00:00,19.2,200,5,
1972-01-04 00:00:00,0.2,200,5,
1972-01-06 00:00:00,0,200,5,
1972-01-07 00:00:00,3.9,200,5,
1972-01-08 00:00:00,3.3,200,5,
1972-01-09 00:00:00,0.1,200,5,
1972-01-10 00:00:00,0.6,200,5,
